"Device name",Type,"OS Type","OS Version",RAM,CPU,Bit,"Screen Resolution",Grade,UUID
Lemmy,IOS,"iPod 5",9.0.2,500MB,"Dual-Core 1GHz",32,"640 x 1136 (326ppi)",Obsolete,d4b31d4fef7b969148b9493b32cd53ffa280bf3a
Toad,IOS,"iPod 5",8.1.1,500MB,"Dual-Core 1GHz",32,"640 x 1136 (326ppi)",Obsolete,0395cc76b2f123d2debb5db2d26a8e4b44d44218
"Gordon Freeman",IOS,"iPod 5",9.3.5,500MB,"Dual-Core 1GHz",32,"640 x 1136 (326ppi)",Obsolete,8df683d2213df8bffdb6f8157e38c8b41809fb69
Iggy,IOS,"iPod 5",8.4.1,500MB,"Dual-Core 1GHz",32,"640 x 1136 (326ppi)",Obsolete,ba9ff54ef1d18b27feb179271c49f90a6d813531
"John Marston",IOS,"iPod 5",8.3.0,500MB,"Dual-Core 1GHz",32,"640 x 1136 (326ppi)",Obsolete,53ddbab0034331cab54858dd980906cbb457367f
"Guy Brush",IOS,"iPod 5",9,500MB,"Dual-Core 1GHz",32,"640 x 1136 (326ppi)",Obsolete,
Vector,IOS,"iPad Mini",8.4,500MB,"Dual-Core 1GHz",32,"768 x 1024 (163 ppi)",Obsolete,fc4fde35ea28101e8a11f9a706c3fc4eff4537cf
Silver,IOS,"iPad Mini",9.2,500MB,"Dual-Core 1GHz",32,"768 x 1024 (163 ppi)",Obsolete,e73f9b4cb93e83f718622016e31d90c06692d782
Sonic,IOS,"iPad 2",8.4.1,500MB,"Dual-Core 1GHz",32,"768 x 1024 (132ppi)",Obsolete,6745ece4fd066224e05129278e7eb75c562fea28
Barret,IOS,"iPhone 4",7.1.2,500MB,"Single-Core 1GHz",32,"640 x 960 (330ppi)",Obsolete,40b7c83097b9a803b38b193f97124f21682653a4
Vincent,IOS,"iPhone 4s",8.4.0,500MB,"Dual-Core 1GHz",32,"640 x 960 (326ppi)",Obsolete,369fcdf892d01f490215c4d9e0f2570d707c2f8a
"Slippy Toad",IOS,"iPod 6",10.3,1GB,"Dual-Core 1.4GHz",64,"750 x 1334 (326 ppi)",Low,cdc1507bc464102fb7321e72273b58d3bee8a6c5
Basch,IOS,"iPhone 5",10.0.1,1GB,"Dual-Core 1.3GHz",32,"640 x 1136 (326ppi)",Low,086deb3ff832fe09fc492d835f8f539d853a70d5
Espio,IOS,"iPad Mini 2 (retina)",11.2,1GB,"Dual-Core 1.3GHz",64,"1536 x 2048 (324 ppi)",Low,7ecfbae1544a8d56ccdacd6dc27ed9038196b2f5
Knuckles,IOS,"iPad Mini 2 (retina)","10 Beta 2",1GB,"Dual-Core 1.3GHz",64,"1536 x 2048 (324 ppi)",Low,82b93d029411bbede53c16523c7f6c58054e526b
Karen,IOS,"iPhone 5s",11.1.1,1GB,"Dual-Core 1.3GHz",64,"640 x 1136 (326ppi)",Low,11c7581c85ca118915b345a2da4fb558bce0cdb7
"Dr Robotnik",IOS,"iPad 4",10.1,1GB,"Dual-Core 1.4GHz",32,"1536 x 2048 (264ppi)",Medium,3e751193bdbf92b35a440f225318b5498de96c9e
Squall,IOS,"iPhone 6",10.3.2,"1 GB DDR3","Dual-Core 1.4GHz",64,"750 x 1334 (326ppi)",Medium,a3eb076b6f1d46fa40c3661ed928592df544b945
"Fox McCloud",IOS,"iPad Air (retina)",10.3.2,"1 GB DDR3","Dual-Core 1.3GHz",64,"1536 x 2048 (264ppi)",Medium,7c7a369fd078c67f1cc123685ad887d3e32a6552
Cid,IOS,"iPhone 6+",11.2,"1 GB DDR3","Dual-Core 1.4GHz",64,"1080 x 1920 (401ppi)",Medium,9cda2720c72ff3e26e82e49ea796c8a4f9246f8e
Fran,IOS,"iPhone 6S",11.2.2,"2 GB DDR 4","Dual-Core 1.85 GHz",64,"1334 Ã— 750 (326 ppi)",High,49c2e825d69a758ff9379dd1ba0b9c24913f645e
"Max Payne",IOS,"iPad mini 4",10.1,"2 GB","Quad-core 1.5 GHz",64,"2048 x 1536 (326ppi)",High,03d9afd06672d3db910b3330f88d68290119022a
Kratos,IOS,"iPad Air 2",9.3.4,"2 GB","Octa-core 1.5 GHz",64,"2048 x 1536 (264ppi)",High,0b7886a9d846ea7cd50f80c1eefbeba3ead44b21
?,IOS,"iPad Pro",11.1,"4 GB","Hexa-core 2.39 GHz",64,"2224 x 1668",High,193ea81981bbc3ea8535688ea1c8b5f6eaa4514e
"Mr Bones",IOS,"iPhone 7",10.3.3,"2 GB","Quad-core 2.34 GHz",64,"750 x 1334 (326ppi)",High,702c1adf30db79fd37da10e5866eb63157ef7356
"Lara Croft",IOS,"iPhone 7+",10.3.2,"3 GB","Quad-core 2.34 GHz",64,"1920 x 1080 (401ppi)",High,f65ca802c90c9f80669fb4f18d8aa422da594875
"Mr Pricklepants",IOS,"iPhone 7+",11.1.2,"3 GB","Quad-core 2.34 GHz",64,"1920 x 1080 (401ppi)",High,788e06f1bf0c9da090d5c51ad15034e699f793ce
Seifer,IOS,"iPhone 8",11.0.3,"2 GB","Hexa-core 2.39 GHz",64,"750 x 1334 (326ppi)",High,
"Mr X",IOS,"iPhone x",11.1.2,"3 GB","Hexa-core 2.39 GHz",64,"2436 x 1125 (458ppi)",High,903e2d8c7291d8d3d386a3a0886f21d969704b54
Guile,Android,"HTC One mini 2",4.4.2,"1 GB","Quad-Core 1.2GHz",?,"720 x 1280 (326ppi)",Low,None
E-Honda,Android,"Galaxy Tab 1",4.0.4,"1 GB","Dual-Core 1GHz",?,"800 x 1280 (149ppi)",Low,None
Zangief,Android,"Galaxy Tab 4",5.0.2,"1.5 GB","Quad-Core 1.2GHz",?,"800 x 1280 (216ppi)",Low,None
"Q Bert",Android,"Amazon Fire HD 7",4.5.5,"1 GB","Dual-Core 1.5GHz",?,"800 x 1280 (216ppi)",Low,None
King,Android,"Kindle Fire HD",?,"1 GB","Dual-Core 1.5GHz",?,"1200 x 1920 (254ppi)",Low,None
Blanka,Android,"Nexus 7",5.0.2,"1 GB","Quad-Core 1.2GHz",?,"800 x 1280 (216ppi)",Low,None
Ken,Android,"Nexus 10",4.4.4,"2 GB","Dual-Core 1.7GHz",?,"1600 x 2560 (299ppi)",Low,None
Akuma,Android,"Samsung Tab A",5.0.2,"2 GB","Quad-Core 1.2GHz",?,"768 x 1024 (132ppi)",Low,None
Wheatley,Android,"LG G3",5.0.0,"3 GB","Quad-Core 2.5GHz",?,"1440 x 2560 (538ppi)",Medium,None
Glados,Android,"LG G Pad",4.4.2,"2 GB","Quad-Core 1.7GHz",?,"1200 x 1920 (273ppi)",Medium,None
Bison,Android,"Galaxy S5",4.4.2,"2 GB","Quad-Core 2.5GHz",?,"1080 x 1920 (432ppi)",Medium,None
Roach,Android,"Nexus 9","7 Preview","2 GB","Dual-Core 2.3GHz",?,"1536 x 2048 (281ppi)",Medium,None
Balrog,Android,"Galaxy S7 Edge",6.0.1,"4 GB","Octa-Core 4x2.3 GHz & 4x1.6 GHz",?,"1440 x 2560 (534ppi)",High,None
